model,task,dataset,sadness,joy,love,anger,fear
gpt2,,,0.0950331762433052, 0.5428431630134583, 0.020552583038806915, 0.14962272346019745, 0.10654512047767639
gpt2,sft,emotion-sft,0.12923261523246765, 0.514392614364624, 0.018119510263204575, 0.14047783613204956, 0.10533680021762848
gpt2,dpo,emotion-preference-sadness,0.5927260518074036, 0.1550101935863495, 0.012309336103498936, 0.18370966613292694, 0.14149969816207886
gpt2,dpo,emotion-preference-joy,0.024484122171998024, 0.9728031754493713, 0.025420594960451126, 0.027391891926527023, 0.012543384917080402
gpt2,dpo,emotion-preference-love,0.06318147480487823, 0.7012386322021484, 0.08809526264667511, 0.10898733139038086, 0.057777512818574905
gpt2,dpo,emotion-preference-anger,0.09781264513731003, 0.13241317868232727, 0.010255878791213036, 0.5236388444900513, 0.15878625214099884
gpt2,dpo,emotion-preference-fear,0.09885819256305695, 0.10262417048215866, 0.008478344418108463, 0.23333624005317688, 0.5534443855285645
